owner,name,pos,adp,positionRank,slotName
harry19023,William Fuller,WR,239.4,107,WR
harry19023,Michael Thomas,WR,82.4,28,WR
harry19023,Mitch Trubisky,QB,124.8,31,QB
harry19023,Evan Engram,TE,180.8,21,TE
harry19023,George Kittle,TE,58.2,5,TE
harry19023,Mason Rudolph,QB,-,,QB
harry19023,Calvin Ridley,WR,-,,WR
harry19023,DJ Moore,WR,59.4,17,WR
harry19023,Ronald Jones,RB,208.8,61,RB
harry19023,Mike Boone,RB,-,,RB
harry19023,Antonio Brown,WR,-,,WR
harry19023,Tony Pollard,RB,92,25,RB
harry19023,Tua Tagovailoa,QB,32.8,17,QB
harry19023,Tee Higgins,WR,51.6,12,WR
harry19023,J.K. Dobbins,RB,64.6,19,RB
harry19023,Tyler Johnson,WR,-,,WR
harry19023,Anthony Schwartz,WR,-,,WR
harry19023,Rashod Bateman,WR,73.4,23,WR
harry19023,Justin Fields,QB,30.2,16,QB
harry19023,Trey Lance,QB,13.2,9,QB
harry19023,Rhamondre Stevenson,RB,95.2,26,RB
harry19023,Kene Nwangwu,RB,-,,RB
harry19023,David Bell,WR,220.6,85,WR
harry19023,Wan'Dale Robinson,WR,184.2,74,WR
harry19023,Breece Hall,RB,60.8,18,RB
harry19023,Sam Howell,QB,-,,QB
harry19023,Skyy Moore,WR,122,44,WR
harry19023,Tyrion Davis-Price,RB,187.2,55,RB
Badger33,Russell Wilson,QB,11.2,8,QB
Badger33,Travis Kelce,TE,26.2,1,TE
Badger33,Tom Brady,QB,13.2,9,QB
Badger33,Allen Robinson,WR,64.2,18,WR
Badger33,Brandin Cooks,WR,82,27,WR
Badger33,Cameron Brate,TE,215.4,29,TE
Badger33,Raheem Mostert,RB,183.4,54,RB
Badger33,Ezekiel Elliott,RB,55.2,17,RB
Badger33,Sterling Shepard,WR,232.2,94,WR
Badger33,Aaron Jones,RB,38.8,10,RB
Badger33,James Washington,WR,-,,WR
Badger33,Rob Gronkowski,TE,-,,TE
Badger33,Allen Lazard,WR,98,35,WR
Badger33,Darrell Henderson,RB,138.6,41,RB
Badger33,Hunter Renfrow,WR,94.6,33,WR
Badger33,Darius Slayton,WR,-,,WR
Badger33,Albert Okwuegbunam,TE,144.4,14,TE
Badger33,DeeJay Dallas,RB,-,,RB
Badger33,Darnell Mooney,WR,87,31,WR
Badger33,Jaret Patterson,RB,-,,RB
Badger33,Davis Mills,QB,91.6,29,QB
Badger33,Dyami Brown,WR,-,,WR
Badger33,Chris Evans,RB,233.6,73,RB
Badger33,Tyler Allgeier,RB,160.8,51,RB
Badger33,Treylon Burks,WR,123.2,45,WR
Badger33,John Metchie,WR,-,,WR
Badger33,Tyrod Taylor,QB,-,,QB
Badger33,Julio Jones,WR,151.8,56,WR
codydwilson,Marvin Jones,WR,199.6,77,WR
codydwilson,Keenan Allen,WR,53,14,WR
codydwilson,Cordarrelle Patterson,RB,131,39,RB
codydwilson,Teddy Bridgewater,QB,-,,QB
codydwilson,Melvin Gordon,RB,130,38,RB
codydwilson,Derrick Henry,RB,22.6,4,RB
codydwilson,Tyler Higbee,TE,180,20,TE
codydwilson,Tyreek Hill,WR,44.8,9,WR
codydwilson,Alex Collins,RB,-,,RB
codydwilson,Jamaal Williams,RB,172,53,RB
codydwilson,Christian Kirk,WR,110.6,42,WR
codydwilson,Nick Chubb,RB,42.4,12,RB
codydwilson,Chase Edmonds,RB,110.4,30,RB
codydwilson,Dalton Schultz,TE,77.8,6,TE
codydwilson,Jeff Wilson,RB,220.4,68,RB
codydwilson,Marquise Brown,WR,67.4,19,WR
codydwilson,Noah Fant,TE,188.2,23,TE
codydwilson,Deebo Samuel,WR,37.4,7,WR
codydwilson,Gardner Minshew,QB,219.2,39,QB
codydwilson,Jalen Hurts,QB,6.8,5,QB
codydwilson,Desmond Ridder,QB,186.2,35,QB
codydwilson,Greg Dulcich,TE,237.2,36,TE
codydwilson,Keaontay Ingram,RB,-,,RB
codydwilson,Randall Cobb,WR,226.6,87,WR
codydwilson,Cam Newton,QB,-,,QB
neveld,Devonta Freeman,RB,-,,RB
neveld,David Johnson,RB,-,,RB
neveld,Stefon Diggs,WR,24,5,WR
neveld,Taylor Heinicke,QB,-,,QB
neveld,Dak Prescott,QB,14.4,11,QB
neveld,J.D. McKissic,RB,193.4,58,RB
neveld,Corey Davis,WR,206,81,WR
neveld,Cooper Kupp,WR,10.2,1,WR
neveld,D'Onta Foreman,RB,229.2,71,RB
neveld,Kenny Golladay,WR,156.8,59,WR
neveld,Taysom Hill,TE,200.4,25,TE
neveld,Austin Ekeler,RB,21.4,3,RB
neveld,Dare Ogunbowale,RB,-,,RB
neveld,Baker Mayfield,QB,83,25,QB
neveld,Dallas Goedert,TE,93,8,TE
neveld,Myles Gaskin,RB,-,,RB
neveld,Jody Fortson,TE,-,,TE
neveld,KJ Hamler,WR,192.2,76,WR
neveld,Tutu Atwell,WR,-,,WR
neveld,Larry Rountree,RB,-,,RB
neveld,Pat Freiermuth,TE,135,12,TE
neveld,Khalil Herbert,RB,151,47,RB
neveld,Jalen Tolbert,WR,145.8,55,WR
neveld,Kenneth Walker,RB,119.8,36,RB
neveld,Christian Watson,WR,172.6,70,WR
neveld,Danny Gray,WR,239.8,108,WR
heidnerg,Geno Smith,QB,197.2,38,QB
heidnerg,Jimmy Garoppolo,QB,152.2,33,QB
heidnerg,Logan Thomas,TE,207.6,28,TE
heidnerg,Jamison Crowder,WR,219.8,83,WR
heidnerg,Devontae Booker,RB,-,,RB
heidnerg,Robbie Anderson,WR,180,72,WR
heidnerg,Patrick Mahomes,QB,3.6,3,QB
heidnerg,Josh Reynolds,WR,-,,WR
heidnerg,Saquon Barkley,RB,35.2,9,RB
heidnerg,Marquez Valdes-Scantling,WR,124.8,46,WR
heidnerg,N'Keal Harry,WR,-,,WR
heidnerg,Mecole Hardman,WR,161.4,62,WR
heidnerg,Jerry Jeudy,WR,77,24,WR
heidnerg,Jordan Love,QB,-,,QB
heidnerg,Michael Pittman,WR,51.8,13,WR
heidnerg,Cole Kmet,TE,125.4,11,TE
heidnerg,Marquez Callaway,WR,-,,WR
heidnerg,Trevor Lawrence,QB,33.6,18,QB
heidnerg,DeVonta Smith,WR,103.8,40,WR
heidnerg,Travis Etienne,RB,44.8,15,RB
heidnerg,Terrace Marshall,WR,234,97,WR
heidnerg,Trey McBride,TE,238.2,37,TE
heidnerg,James Cook,RB,121,37,RB
pattyflavs,Davante Adams,WR,21.2,4,WR
pattyflavs,Jameis Winston,QB,47.4,20,QB
pattyflavs,Tyler Boyd,WR,141.2,54,WR
pattyflavs,JuJu Smith-Schuster,WR,77,24,WR
pattyflavs,Matthew Stafford,QB,18.2,12,QB
pattyflavs,Gus Edwards,RB,209.2,62,RB
pattyflavs,Darrel Williams,RB,191.4,56,RB
pattyflavs,A.J. Brown,WR,47.4,10,WR
