id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
4767b46e-44e5-44fa-b426-6422d25f0868,Josh,Allen,1.4,417.2,QB1,QB,Buffalo Bills,,
bff55cbd-6ec1-4f53-81ae-cf09ad91ebc6,Justin,Herbert,2.4,378.6,QB2,QB,Los Angeles Chargers,,
7691135e-6bad-48f4-894d-b0d04586d52f,Patrick,Mahomes,3.6,336.4,QB3,QB,Kansas City Chiefs,,
3475ebb6-f8c9-4d9c-b5cb-e1785a4da337,Jonathan,Taylor,4.4,383.1,RB1,RB,Indianapolis Colts,,
9cb14a48-5b2b-49fa-be32-4d8daa9cb2dd,Lamar,Jackson,5.2,380.1,QB4,QB,Baltimore Ravens,,
6a5e9584-74d5-4941-85d8-c9eada42febc,Jalen,Hurts,6.8,337.7,QB5,QB,Philadelphia Eagles,,
adcbb878-f36f-4d48-9a6d-8740e0db4701,Kyler,Murray,7.2,365.3,QB6,QB,Arizona Cardinals,,
67373a19-6ba6-4d4c-aba6-c2e55f59dc00,Cooper,Kupp,10.2,330.1,WR1,WR,Los Angeles Rams,,
93ea2749-cdb8-4a66-91af-e4c776678e5c,Christian,McCaffrey,10.4,270.3,RB2,RB,Carolina Panthers,,
57c6c31e-b4a9-412d-a088-08f3c2dbe569,Joe,Burrow,10.6,320.3,QB7,QB,Cincinnati Bengals,,
dc8d54a3-1171-4fad-acc3-a021b5a4da3a,Russell,Wilson,11.2,310.6,QB8,QB,Denver Broncos,,
3c9b4097-12ce-44c8-9f60-31f1449415e8,Tom,Brady,13.2,349.1,QB9,QB,Tampa Bay Buccaneers,,
69aab581-5281-40fb-8163-3d4fa71e62e9,Trey,Lance,13.2,282.7,QB9,QB,San Francisco 49ers,,
532714f9-4355-4175-8924-dfe93830f610,Justin,Jefferson,13.2,266.5,WR2,WR,Minnesota Vikings,,
b40874b9-90b3-43ea-a5eb-c54909ad341a,Dak,Prescott,14.4,306.8,QB11,QB,Dallas Cowboys,,
decbf5ee-b9a8-45c8-9f80-91d6c7a3e207,Ja'Marr,Chase,17,276.2,WR3,WR,Cincinnati Bengals,,
6a6ae499-fa37-4f43-b1e2-a030a7c43fb1,Matthew,Stafford,18.2,313,QB12,QB,Los Angeles Rams,,
ac694797-ddd7-4767-b0ca-dde011be7f32,Aaron,Rodgers,18.6,293.4,QB13,QB,Green Bay Packers,,
1fc5f4e1-3df5-465f-9e49-4acf021cf548,Derek,Carr,20.2,278.4,QB14,QB,Las Vegas Raiders,,
e8ea9e36-9ba8-43be-a46f-4a7a91b9f970,Davante,Adams,21.2,247.7,WR4,WR,Las Vegas Raiders,,
